eventType,eventTime,symbol,newClientOrderId,side,orderType,quantity,price,orderId,orderTime,lastTradeQuantity,totalTradeQuantity,priceLastTrade,commission,commissionAsset,tradeId,isBuyerMaker,creationTime,totalQuoteTradeQuantity,_id
executionReport,9:47:42 AM,DOGEUSD,agW8XokWD1cgQ0k7PiIlu7,SELL,LIMIT,248.00000000,0.2013,111687665,9:47:42 AM,248.00000000,248.00000000,0.2013,0.00012120,BNB,13825538,true,9:47:40 AM,49.9224,k1zPpTxJHEbAkLVy
executionReport,6:00:08 AM,DOGEUSD,HRveO4zeQ7awjC6FlePN9X,BUY,LIMIT,232.00000000,0.2150,110773063,6:00:08 AM,232.00000000,232.00000000,0.2150,0.00011442,BNB,13792061,true,5:59:17 AM,49.8800,kJKbpUrHJtN4onX0
executionReport,4:02:34 PM,DOGEUSD,TA7HoIzGSoxL7Nr7j2v86X,SELL,LIMIT,226.00000000,0.2210,109785727,4:02:34 PM,151.00000000,226.00000000,0.2210,0.00007990,BNB,13763025,true,4:02:32 PM,49.9460,kJltdvOMCzMhoOt7
executionReport,11:02:40 PM,DOGEUSD,bnjGQiuHrvBWH2mDj1bup2,BUY,LIMIT,254.00000000,0.1965,111901022,11:02:40 PM,254.00000000,254.00000000,0.1965,0.00012228,BNB,13832596,true,10:31:36 PM,49.9110,kT3WHBMZ8wPRe6Rj
executionReport,11:44:19 PM,DOGEUSD,51ugobQzUyCXOCfphB6Yap,BUY,LIMIT,236.00000000,0.2113,110413800,11:44:19 PM,236.00000000,236.00000000,0.2113,0.00011892,BNB,13783540,true,11:38:34 PM,49.8668,kU65CcCkj3VbL6UW
executionReport,6:33:35 AM,DOGEUSD,mhCmqt2KLjauCpWshuR5kw,BUY,LIMIT,232.00000000,0.2151,110114797,6:33:35 AM,232.00000000,232.00000000,0.2151,0.00011992,BNB,13775047,true,6:31:47 AM,49.9032,kWuGLj5yTmcGAEu1
executionReport,11:31:59 AM,DOGEUSD,b3cQ8Rw8Kj9nQZ138yvnZ1,SELL,LIMIT,249.00000000,0.2008,111728838,11:31:59 AM,83.00000000,249.00000000,0.2008,0.00004022,BNB,13826906,true,11:31:56 AM,49.9992,kbXwOZjjrSU6MCVO
executionReport,2:43:13 AM,DOGEUSD,QPeyyFAUqsv1veX73lLFMw,BUY,LIMIT,261.00000000,0.1911,111956995,2:43:13 AM,261.00000000,261.00000000,0.1911,0.00012378,BNB,13833981,true,2:30:55 AM,49.8771,kfa78d0WxfUn3YzC
executionReport,6:04:24 AM,DOGEUSD,jB5d7HSNklZ4d5bmZdFMaw,BUY,LIMIT,231.00000000,0.2160,110104964,6:04:24 AM,231.00000000,231.00000000,0.2160,0.00011967,BNB,13774868,true,6:02:56 AM,49.8960,kh7O7G4VeiN6RWsJ
executionReport,5:11:30 AM,DOGEUSD,2sJrUDOHFlAJZcsUXyPQfF,BUY,LIMIT,277.00000000,0.1802,112387363,5:11:30 AM,277.00000000,277.00000000,0.1802,0.00012242,BNB,13850640,true,4:48:42 AM,49.9154,ki6zwMLWZecngaNj
executionReport,10:12:44 PM,DOGEUSD,jHrIi9zQ3aiPFn76QipZzt,BUY,LIMIT,295.00000000,0.1691,112726174,10:12:44 PM,295.00000000,295.00000000,0.1691,0.00012616,BNB,13865171,true,10:07:39 PM,49.8845,klsqOOTCaGBfrNIn
executionReport,7:19:33 AM,DOGEUSD,UFmv6XgIlSh6uiEONdaKHi,SELL,LIMIT,284.00000000,0.1761,112438788,7:19:33 AM,284.00000000,284.00000000,0.1761,0.00012409,BNB,13852426,true,7:19:25 AM,50.0124,kq0v6hc2u8xrDwRf
executionReport,7:42:20 AM,DOGEUSD,x94qVRjHPtty52IwiTxdHE,SELL,LIMIT,286.00000000,0.1748,112449721,7:42:20 AM,286.00000000,286.00000000,0.1748,0.00012391,BNB,13853076,true,7:42:19 AM,49.9928,ktcqKtxskU6d4WDW
executionReport,9:53:59 PM,DOGEUSD,SFujd7A6URx97L3WMAst0G,SELL,LIMIT,293.00000000,0.1708,112717968,9:53:59 PM,293.00000000,293.00000000,0.1708,0.00012474,BNB,13864178,true,9:53:59 PM,50.0444,ktuWso0OFbfyMLvC
executionReport,5:40:03 AM,DOGEUSD,x69D75rnqS3hbTF7du0HKr,BUY,LIMIT,279.00000000,0.1792,112399392,5:40:03 AM,279.00000000,279.00000000,0.1792,0.00012280,BNB,13851267,true,5:29:00 AM,49.9968,kumKYRSqKQDBK7DT
